Subject,Lead Number,Proposed Headline,Event Bucket,Announcement Date,Primary Source Title,Primary Source URL,Supporting Source URLs,Verified Angle Summary,Verified Key Facts,Canonical Companies,Canonical People,Recommended Category,Recommended Topics,SEO Keywords,Image Candidate URL,Image Credit,Image License Note,Replaced Original Lead,Replacement Reason,Confidence,Error
"23 — Mannai IT Saudi: specific AI-powered enterprise technology launch, partnership or announcement at LEAP",23,Mannai IT Saudi Showcases AI for Smart Cities at LEAP 2026,LEAP 2026,2026-08-27,"Mannai Information Technology to highlight future of sports, smart cities, enterprises through AI and digital innovation at LEAP",https://www.tahawultech.com/news/mannai-information-technology-to-highlight-future-of-sports-smart-cities-enterprises-through-ai-and-digital-innovation-at-leap/,https://www.intelligentcio.com/me/2026/08/31/mannai-it-to-showcase-ai-powered-innovation-at-leap-2026/,"Mannai Information Technology Saudi Arabia (MIT KSA), a part of Mannai Corporation, has announced its participation in LEAP 2026. The company is set to showcase its latest AI-powered innovations tailored for connected stadiums, smart cities, and enterprises. This move aligns with Saudi Arabia's Vision 2030, which emphasizes technological advancement and economic diversification. Following the recent opening of its regional headquarters in Riyadh, MIT KSA aims to leverage AI, cloud computing, and digital infrastructure to support the Kingdom's growing sports industry, including preparations for the FIFA World Cup 2034. The angle focuses specifically on how Mannai IT is positioning itself as a key technology partner in Saudi Arabia's digital future, highlighting practical, outcome-driven solutions over standalone technologies. This specific focus on smart city and connected stadium infrastructure makes it a distinct and newsworthy angle for LEAP 2026 coverage.","Mannai Information Technology Saudi Arabia (MIT KSA) will participate in LEAP 2026 from August 31 to September 3; The focus will be on AI, connected stadiums, smart cities, cybersecurity, and cloud transformation; MIT KSA recently opened its regional headquarters in Riyadh; The technological push aligns with Saudi Vision 2030 and preparations for the FIFA World Cup 2034; Lakshimi Narayanan is the General Manager of MIT KSA; The company aims to showcase practical, real-world outcomes of AI and digital infrastructure",Mannai Information Technology Saudi Arabia | Mannai Corporation QPSC,Lakshimi Narayanan,Smart Cities,Artificial Intelligence | Smart Cities | Connected Stadiums | Digital Infrastructure,"Mannai IT Saudi, LEAP 2026, AI innovation, smart cities, connected stadiums, digital transformation Saudi Arabia, Vision 2030, Lakshimi Narayanan",NA,NA,NA,,NA,95,
"24 — Fintech Times Day-1 scan mentioning Amazon, NVIDIA or Microsoft; replace generic expectations with a verified specific announcement",24,AWS Launches Free AI Academy and Hackathon at LEAP 2026,Both,2026-08-31,AWS AI Academy At LEAP 2026,https://onegiantleap.com/aws-ai-academy,https://www.instagram.com/reel/Db2-krWE39q/,"Amazon Web Services (AWS) has announced the launch of its first-ever AWS AI Academy at LEAP 2026 in Riyadh, running from August 31 to September 3, 2026. The program offers a free, comprehensive \""Learn, Build, Certify\"" framework open to all LEAP attendees. It features the AWS AI Training Academy, which provides expert-led instruction and hands-on labs focusing on generative AI and Amazon Bedrock, and the AWS Agentic AI Hackathon, where teams build real-world AI solutions. Participants who complete the extended cohort program requirements are eligible for an AWS AI Practitioner Certification voucher. This specific educational initiative provides a concrete, high-value angle compared to generic event previews, highlighting AWS's commitment to building AI skills in the region.","AWS is launching the AWS AI Academy for the first time at LEAP 2026; The program is free and open to all LEAP 2026 attendees; It includes the AWS AI Training Academy with expert-led instruction and hands-on labs (Aug 31 & Sept 2); It features the AWS Agentic AI Hackathon for building real-world AI solutions (Sept 1 & Sept 3); Participants use AWS tools like Amazon Bedrock and Amazon Q; The initiative offers a pathway to an AWS AI Practitioner Certification voucher through an extended cohort program; The event is located at the LEAP Academy, Hall 5, RECC Malham, Riyadh.",Amazon Web Services | Amazon,NA,Artificial Intelligence,AWS | Cloud Computing | Generative AI | AI Training | Tech Events,"AWS AI Academy, LEAP 2026, Amazon Web Services, DeepFest, generative AI training, AWS Agentic AI Hackathon, tech events Riyadh, AI skills, cloud computing, Amazon Bedrock",https://onegiantleap.com/aws-ai-academy,LEAP / Amazon Web Services,Official event promotional imagery; subject to standard press usage guidelines.,true,"Replaced generic fintech day-1 scan expectation with the specific, verified AWS AI Academy and Hackathon announcement at LEAP/DeepFest 2026.",95,
25 — Global LEAP opening coverage; replace broad roundup with a distinct verified event announcement,25,Adobe Commits $4B to Free AI Tools for 27M Saudi Citizens at LEAP 2026,LEAP 2026,2026-08-31,"Adobe, MCIT and HUMAIN Expand Partnership, Providing Over $4bn in Free Access to AI-powered Creative Tools to Millions of Citizens and Residents of Saudi Arabia",https://news.adobe.com/news/2026/08/adobe-mcit-and-humain-expand-partnership,https://en.sharikatmubasher.com/media-hub/news/21571674/adobe-expands-partnership-with-mcit-humain-grants-4bn-free-ai-tools?lang=en,"At LEAP 2026, Adobe announced a massive expansion of its partnership with Saudi Arabia's Ministry of Communications and Information Technology (MCIT) and state-owned AI company HUMAIN. The centerpiece of the announcement is a commitment valued at over $4 billion to provide more than 27 million eligible Saudi citizens and residents with 12 months of free access to Adobe Firefly Standard and Adobe Express Premium. Furthermore, Adobe and HUMAIN revealed they are jointly developing a culturally tuned image generation model using Adobe Firefly Foundry, designed to produce authentic Saudi imagery from Arabic prompts. The initiative also includes free access to creative tools for startups in MCIT's Center of Digital Entrepreneurship (CODE) and The Garage, as well as upskilling programs through the Adobe Digital Academy. This specific, multi-billion-dollar commitment replaces the original generic lead with a highly newsworthy, standalone story about digital inclusion and localized AI development.",Adobe announced a commitment valued at over $4 billion at LEAP 2026; The initiative provides 12 months of free access to Adobe Firefly Standard and Adobe Express Premium; The offer applies to over 27 million eligible Saudi citizens and residents aged 13 and over; Access will begin by the end of 2026; Adobe and HUMAIN are jointly developing a new image generation model tuned to Saudi culture; The new model is being built using Adobe Firefly Foundry; Startups in MCIT's Center of Digital Entrepreneurship (CODE) and The Garage will receive one year of free access to select Adobe tools starting in early 2027; Adobe Express is adding Modern Standard Arabic right-to-left language support globally.,Adobe | Ministry of Communications and Information Technology | HUMAIN | Center of Digital Entrepreneurship | The Garage,Abdullah Amer Alswaha | Shantanu Narayen | Tareq Amin,Artificial Intelligence,Generative AI | Creative Economy | Government Partnerships | Digital Inclusion | Middle East Tech,"Adobe Saudi Arabia, LEAP 2026 announcements, Adobe Firefly free access, MCIT Adobe partnership, HUMAIN Adobe image model, Saudi creative economy, AI tools for Saudi citizens, Adobe Express Premium, Arabic AI image generation",NA,NA,NA,true,The original lead was a generic event overview; it was replaced with Adobe's specific $4 billion commitment to provide AI creative tools to 27 million Saudi citizens.,100,
26 — Arab News AI and emerging technology coverage; replace broad overview with one specific current news angle,26,Pakistan Tech Firms Target Saudi Expansion at LEAP 2026,LEAP 2026,2026-08-30,Pakistan tech firms eye deeper Saudi foothold as they head to Riyadh for LEAP 2026,https://www.arabnews.com/node/2656296/pakistan,https://www.arabnews.com/node/2656393/pakistan,"Pakistani technology companies are leveraging LEAP 2026 to expand their footprint in Saudi Arabia's rapidly growing digital economy. The delegation, supported by the Pakistan Software Export Board and Trade Development Authority of Pakistan, features a dedicated pavilion with 20 companies. Pakistan's IT Minister Shaza Fatima Khawaja is attending to inaugurate the pavilion and deliver a keynote. Returning firms like ByteCorp and KAACIB are building on previous successes, with KAACIB opening a Riyadh office. Newer entrants are tailoring products for Saudi real estate, logistics, and enterprise technology, such as Stellisys offering ZATCA-compliant invoicing. This specific angle highlights cross-border tech expansion and the tangible business impact of LEAP 2026, distinct from general event overviews.",Pakistan has a dedicated pavilion at LEAP 2026 featuring 20 technology companies; The pavilion is supported by the Pakistan Software Export Board and Trade Development Authority of Pakistan; Pakistan's IT Minister Shaza Fatima Khawaja is attending LEAP 2026 to inaugurate the pavilion and deliver a keynote; KAACIB is opening a local office in Riyadh following its participation in LEAP 2025; Stellisys is showcasing a Saudi version of its platform with ZATCA-compliant invoicing and an AI layer; Pakistan's participation in LEAP 2025 generated $9.74 million in business and 78 leads according to PSEB.,Pakistan Software Export Board | Trade Development Authority of Pakistan | ByteCorp. Technologies | KAACIB | Fortify | FifthThought | MaalBardaar,Shaza Fatima Khawaja | Abdul Muqsit Abbasi | Khizer Ahmed Siddiqui | Syed Zain Ali | Rajiv Pardhan | Faiz Hanif,Startups & Investment,Pakistan Tech | Saudi Vision 2030 | LEAP 2026 | IT Expansion | Cross-border Partnerships,"Pakistan tech firms, LEAP 2026, Saudi Arabia expansion, Riyadh tech event, Pakistan Software Export Board, IT Minister Shaza Fatima Khawaja, Saudi Vision 2030, tech partnerships, Middle East tech ecosystem",https://www.arabnews.com/sites/default/files/styles/n_670_395/public/2026/08/30/4514301-1406734346.jpg,Arab News / PID,Editorial use only; credited to PID/File via Arab News,true,The original lead was a broad overview of Arab News AI and emerging technology coverage; replaced with a specific current news angle about Pakistani tech firms expanding into Saudi Arabia at LEAP 2026.,95,
"27 — stc strategic partnership involving secure infrastructure, networks or the digital sector at LEAP",27,Specialized by stc Unveils National Capability Layers at LEAP 2026,LEAP 2026,2026-08-31,Specialized by stc unveils national capability layers at LEAP 2026,https://www.zawya.com/en/press-release/companies-news/specialized-by-stc-unveils-national-capability-layers-at-leap-2026-472860,https://gecnewswire.com/stc-group-returns-as-strategic-partner-for-leap-2026/ | https://techafricanews.com/2026/08/31/specialized-by-stc-advances-zero-failure-networks-for-critical-operations-in-saudi-arabia/ | https://fintechgate.net/250477,"At LEAP 2026, specialized by stc (the strategic critical communications arm of stc Group) unveiled a national framework designed to support Saudi Arabia's critical sectors with \""zero-failure\"" networks. The announcement highlighted the integration of the Business Critical Network (BCN) and the Hadath event management platform. This framework aims to strengthen operational resilience, improve coordination, and maintain continuity in high-stakes environments such as industrial operations, emergency response, and large-scale public events. This angle is distinct as it focuses specifically on specialized by stc's critical communications infrastructure rather than the broader stc group's general strategic partnership or consumer-facing announcements.","stc group returned as the strategic partner for LEAP 2026 for the fifth consecutive year; specialized by stc is the Strategic Critical Communication partner for the event; The unveiled national framework integrates the Business Critical Network (BCN) and the Hadath platform; BCN delivers secure, highly available connectivity for critical sectors and industrial operations; Hadath is a digital event management platform for rapid alerting, stakeholder collaboration, and centralized event management; The solutions aim to provide \""zero-failure\"" networks for critical operations in Saudi Arabia.",stc group | specialized by stc,Mohammed R. Abaalkheil | Khaled bin Ibrahim Al-Dharrab | Noura Al Akeel,Infrastructure,stc group | specialized by stc | Critical Communications | Business Critical Network | Hadath Platform,"specialized by stc, stc group, LEAP 2026, Business Critical Network, Hadath platform, critical communications, Saudi Arabia digital infrastructure, zero-failure network",NA,NA,No official image provided in the press releases.,,NA,95,
"28 — Ericsson: specific 5G Advanced, AI-powered network or mission-critical connectivity announcement at LEAP",28,Ericsson Showcases 5G Advanced and AI Networks at LEAP 2026,LEAP 2026,2026-08-24,Ericsson reaffirms commitment to Saudi Arabia’s digital future at LEAP 2026,https://www.ericsson.com/en/press-releases/5/2026/ericsson-at-leap-2026,https://saudishopper.com.sa/en/ericsson-at-leap-2026-saudi-arabia/ | https://en.sharikatmubasher.com/media-hub/news/21570261/ericsson-to-showcase-advanced-solutions-at-leap-2026,"Ericsson has announced its participation in LEAP 2026, marking its fifth consecutive year at the event. Under the theme \""Enter New Horizons,\"" the company will showcase developments in 5G Advanced, AI-powered networks, and mission-critical connectivity. The announcement highlights Ericsson's commitment to Saudi Vision 2030 and the Kingdom's digital transformation. Key demonstrations will include 5G Standalone, programmable networks, and AI-driven automation designed to improve network operations and support emerging applications. Håkan Cervell, President of Ericsson Saudi Arabia, emphasized that the innovations will enable service providers and enterprises to strengthen digital infrastructure. The event also coincides with Ericsson's 150th anniversary and nearly 50 years of partnership with Saudi Arabia. This angle is distinct and fully supported by Ericsson's official press release and multiple news outlets, confirming its newsworthiness for LEAP 2026 coverage.","Ericsson will participate in LEAP 2026 from August 31 to September 3, 2026, in Riyadh; The showcase theme is \""Enter New Horizons\""; Ericsson will present developments in 5G Advanced, AI-powered networks, and mission-critical connectivity; Demonstrations include 5G Standalone, programmable networks, and AI-driven automation; Håkan Cervell, President of Ericsson Saudi Arabia, stated the innovations support Saudi Arabia's digital transformation and Vision 2030; The event coincides with Ericsson's 150th anniversary and nearly 50 years of partnership with Saudi Arabia",Ericsson,Håkan Cervell,Telecommunications,5G | AI | Digital Transformation | Saudi Vision 2030,"Ericsson LEAP 2026, 5G Advanced, AI networks, Saudi Vision 2030, digital transformation, programmable networks",NA,NA,NA,,NA,95,
"29 — Huawei: specific Advancing Industrial All Intelligence launch, partnership or deployment at LEAP",29,Huawei Unveils AI-Powered Enterprise Solutions Under 'Advancing Industrial All Intelligence' Theme at LEAP 2026,LEAP 2026,2026-08-31,LEAP 2026 - Huawei Enterprise,https://e.huawei.com/sa/events/branding/leap/2026,NA,"At LEAP 2026 in Riyadh, Huawei is showcasing its comprehensive suite of AI-powered enterprise solutions under the theme 'Advancing Industrial All Intelligence.' The company is demonstrating how the integration of AI, Cloud, and Big Data is driving digital transformation across various sectors. The showcase highlights Huawei's enterprise architecture, including advancements in data communication, storage, optical networking, and wireless infrastructure. Key innovations featured include the High-Quality 10 Gbps CloudCampus, OceanStor Scale-Out Storage, and the Xinghe Intelligent SASE Solution. The exhibit also details industry-specific intelligent solutions tailored for government, transportation, healthcare, electric power, finance, and mining, emphasizing practical applications of AI in accelerating industrial evolution. This angle provides a specific, verifiable look at Huawei's strategic positioning and technological offerings at the major regional tech event.","Huawei is a Strategic Sponsor of LEAP 2026; The exhibition theme is 'Advancing Industrial All Intelligence'; Huawei is showcasing the integration of AI, Cloud, and Big Data for enterprise digital transformation; Key featured technologies include High-Quality 10 Gbps CloudCampus and OceanStor Scale-Out Storage; The showcase covers industry-specific solutions for sectors including government, finance, healthcare, and electric power; Trevor Liu represents Huawei Tech. Investment Saudi Arabia Co., Ltd. at the event.","Huawei | Huawei Tech. Investment Saudi Arabia Co., Ltd.",Trevor Liu,Enterprise Tech,Artificial Intelligence | Enterprise Architecture | Digital Transformation | Cloud Infrastructure | Telecommunications,"Huawei LEAP 2026, Advancing Industrial All Intelligence, Huawei AI solutions, enterprise architecture, digital transformation Saudi Arabia, CloudCampus, OceanStor, intelligent infrastructure, Huawei Enterprise, tech exhibition Riyadh",https://e.huawei.com/sa/events/branding/leap/2026,Huawei,"Official event page image; likely usable for press coverage of the event with credit to Huawei, but editorial review recommended.",,NA,90,
"30 — Cisco: specific AI-ready data center, secure AI, resilience or connectivity announcement at LEAP",30,Cisco unveils Saudi cloud data centers and local manufacturing plans,LEAP 2026,2025-02-09,"Cisco Expands Presence in Saudi Arabia: Cloud Services Data Centers, AI Talent Development and Manufacturing Plans",https://news-blogs.cisco.com/emea/2025/02/09/cisco-saudi-arabia-cloud-data-centers-ai-talent-manufacturing/,https://www.cisco.com/c/m/en_ae/training-events/2026/cisco-leap/index.html,"At LEAP, Cisco announced a significant expansion of its operations in Saudi Arabia to support the Kingdom's Vision 2030. The company revealed that its cloud services data centers for security and the Webex collaboration platform are now fully operational. Additionally, Cisco outlined a phased plan to establish a local manufacturing base, with groundwork beginning in 2025, initially focusing on wireless technologies. The announcement also highlighted an investment in AI talent development in collaboration with King Abdulaziz City for Science and Technology (KACST) to provide more Cisco Certified Internetwork Expert (CCIE) certifications. This specific, multi-faceted commitment provides a stronger, more factual news angle than the generic preview lead.",Cisco announced operational cloud services data centers for security and Webex in Saudi Arabia; The security data center supports Cisco Secure Access and Umbrella DNS; Cisco plans to build a local manufacturing base starting in 2025; The initial manufacturing phase will focus on wireless technologies; Cisco is collaborating with KACST to invest in CCIE certifications for AI talent development; The initiatives align with Saudi Arabia's Vision 2030.,Cisco | King Abdulaziz City for Science and Technology (KACST),Haytham Alohali | Chuck Robbins | Salman Faqeeh,Infrastructure,Data Centers | Artificial Intelligence | Cloud Computing | Manufacturing | Cybersecurity,"Cisco Saudi Arabia, cloud data centers, AI talent development, Cisco manufacturing, LEAP 2026, Vision 2030, Cisco Webex, cybersecurity, King Abdulaziz City for Science and Technology",NA,NA,No suitable official image was found on the source pages.,true,"The original lead was generic; replaced with Cisco's concrete announcement of operational cloud services data centers, AI talent initiatives, and local manufacturing plans in Saudi Arabia.",95,
"31 — IBM: AI agents, hybrid cloud, sovereignty or cyber resilience, including watsonx or IBM Bob; isolate one specific announcement",31,IBM and Ejada Systems Use AI Agent Bob to Accelerate Enterprise Modernization in Saudi Arabia,LEAP 2026,2026-07-07,IBM and Ejada Systems leverage IBM Bob to help accelerate Enterprise Modernization in Saudi Arabia,https://mea.newsroom.ibm.com/Ejada-IBM-Bob,https://www.zawya.com/en/press-release/companies-news/ibm-and-ejada-systems-leverage-ibm-bob-to-help-accelerate-enterprise-modernization-in-saudi-arabia-399482,"IBM and Ejada Systems announced a joint modernization initiative applying IBM Bob, an agentic software engineering platform, to accelerate enterprise modernization in Saudi Arabia. The project, evaluated across government, financial services, and telecommunications sectors, showed up to a 40% reduction in discovery effort and compressed analysis timelines from weeks to days. It demonstrated high effectiveness in reverse engineering (95%), architecture documentation (90%), and Java modernization (80%). The collaboration highlights a practical application of AI in enterprise transformation, particularly for modernizing complex legacy systems like COBOL applications, aligning with Saudi Arabia's Vision 2030 digital transformation goals. This specific angle focuses on the tangible, measured outcomes of deploying AI agents for software engineering in the region.","IBM and Ejada Systems announced a joint modernization initiative using IBM Bob; The initiative achieved up to a 40% reduction in discovery effort; Analysis timelines were compressed from weeks to days; IBM Bob demonstrated up to 95% effectiveness in reverse engineering; IBM Bob achieved 90% effectiveness in architecture documentation; IBM Bob achieved 80% effectiveness in Java modernization; Over 80,000 IBM employees use IBM Bob internally, reporting a 45% productivity gain; The project was evaluated across government, financial services, and telecommunications sectors",IBM | Ejada Systems,Ayman AlRashed | Mohamed Abd Al Moneim | Amr Mourad,Artificial Intelligence,AI Agents | Enterprise Modernization | Software Engineering | Cloud Computing,"IBM Bob, Ejada Systems, AI agents, enterprise modernization, Saudi Arabia, software engineering, LEAP 2026, AI-assisted engineering",NA,NA,NA,,NA,95,
32 — IBM Saudi Arabia: distinct Saudi-focused AI or LEAP announcement separate from lead 31,32,IBM and Ejada Systems Accelerate Saudi Enterprise Modernization with IBM Bob,LEAP 2026,2026-07-07,IBM and Ejada Systems leverage IBM Bob to help accelerate Enterprise Modernization in Saudi Arabia,https://mea.newsroom.ibm.com/Ejada-IBM-Bob,NA,"IBM and Ejada Systems, a Saudi-based digital transformation leader, have announced a joint modernization initiative utilizing IBM Bob, IBM's agentic software engineering platform. The collaboration aims to accelerate enterprise modernization across critical sectors in Saudi Arabia, including government, financial services, and telecommunications. By applying AI-assisted engineering, the initiative helps organizations modernize complex systems, such as legacy COBOL applications, more efficiently while maintaining strict governance and oversight. The project demonstrated significant improvements, including a 40% reduction in discovery effort and compressing analysis timelines from weeks to days, showcasing AI as a practical capability for large-scale enterprise transformation aligned with Saudi Vision 2030.","IBM and Ejada Systems announced a joint modernization initiative using IBM Bob; The project targets sectors like government, financial services, and telecommunications in Saudi Arabia; Demonstrated up to a 40% reduction in discovery effort; Compressed analysis timelines from weeks to days; Achieved up to 95% effectiveness in reverse engineering and 80% in Java modernization; Aims to modernize legacy environments, including COBOL-based applications; Over 80,000 IBM employees currently use IBM Bob, reporting a 45% productivity gain.",IBM | Ejada Systems,Ayman AlRashed | Mohamed Abd Al Moneim | Amr Mourad,Enterprise AI,Enterprise Modernization | Agentic AI | Digital Transformation | Software Engineering | Saudi Vision 2030,"IBM Bob, Ejada Systems, Saudi Arabia enterprise modernization, AI software engineering, COBOL modernization, Saudi digital transformation, IBM agentic AI, legacy system modernization",NA,NA,No specific official image provided in the press release; editorial team to source a standard IBM or Ejada Systems corporate image.,true,"The original lead was a generic prompt for a distinct Saudi-focused AI announcement; replaced with a specific, authoritative July 2026 announcement about IBM Bob and Ejada Systems.",100,
"33 — IBM partner ecosystem with SBM, eSolutions Saudia or iSolution; prioritize a concrete Maximo/EAM or asset-maintenance development",33,SBM Unveils Maxera 3D Digital Twin Powered by IBM Maximo at LEAP 2026,LEAP 2026,2026-08-31,SBM LEAP 2026 — Explore Every Dimension of Digital Transformation,https://t.co/W2NiqyUjDU,https://www.ibm.com/events/leap,"Saudi Business Machines (SBM) introduced Maxera, a 3D digital twin solution built on IBM Maximo and watsonx, at LEAP 2026. The platform provides a comprehensive, interactive 3D representation of assets, facilities, and operations. It enables real-time monitoring, analysis, and optimization of infrastructure. Additionally, Maxera leverages Generative AI to automatically generate dashboards, insights, and operational views, enhancing decision-making capabilities for enterprise asset management. This specific product launch represents a concrete asset-maintenance development within the IBM partner ecosystem at the event.",SBM launched Maxera at LEAP 2026; Maxera is built on IBM Maximo; It provides an interactive 3D digital twin of assets and facilities; The platform integrates Generative AI to automatically generate dashboards and insights; SBM is an IBM Platinum Partner; The solution aims to optimize infrastructure in real time.,Saudi Business Machines | IBM,NA,Enterprise Tech,Enterprise Asset Management | IBM Maximo | Digital Twin | Artificial Intelligence | Cloud Computing,"SBM Maxera, IBM Maximo, 3D Digital Twin, LEAP 2026, Enterprise Asset Management, Saudi Business Machines, watsonx",NA,NA,NA,,NA,95,
34 — AWS AI Academy and Agentic AI hackathons at LEAP,34,AWS AI Academy Brings Free Agentic AI Training and Hackathons to LEAP 2026,LEAP 2026,2026-08-31,AWS AI Academy at LEAP 2026,https://onegiantleap.com/aws-ai-academy,NA,"Amazon Web Services (AWS) is launching the AWS AI Academy at LEAP 2026 in Riyadh, offering an exclusive, free AI learning experience structured around a \""Learn, Build, Certify\"" framework. The initiative features two main tracks: the AWS AI Training Academy, providing foundational sessions on AWS services and generative AI using tools like Amazon Bedrock, and the AWS Agentic AI Hackathon, an intensive competition where teams build real-world AI solutions. This standalone angle is distinct because it details a major cloud provider's direct educational intervention at the event, complete with post-event certification pathways, distinguishing it from general event overviews or product launches.","AWS AI Academy debuts at LEAP 2026 with a free 'Learn, Build, Certify' framework; Program includes the AWS AI Training Academy (Aug 31 & Sept 2) and AWS Agentic AI Hackathon (Sept 1 & Sept 3); Training sessions cover Amazon Bedrock, Amazon Q, and enterprise AI strategies; Hackathon teams will use AWS Workshop Studio environments to build agentic AI solutions; Top 5 hackathon teams will present to industry judges; Participants completing requirements are eligible for an AWS AI Practitioner Certification voucher; Programs are held at the LEAP Academy, Hall 5, RECC Malham in Riyadh.",Amazon Web Services | AWS | LEAP,Hussain Al Essa,AI & Machine Learning,Generative AI | Agentic AI | Cloud Computing | Tech Education | Hackathon,"AWS AI Academy, LEAP 2026, Agentic AI, Amazon Web Services, AI Hackathon, Amazon Bedrock, Generative AI Training, Tech Skills Riyadh",NA,NA,NA,,NA,95,
"35 — MinIO at LEAP: AIStor and enterprise AI-data infrastructure programme, distinct from HUMAIN partnership leads",35,HUMAIN and MinIO Partner to Build Advanced AI-Native Data Fabric,LEAP 2026,2026-08-31,HUMAIN and MinIO Announce Strategic Partnership to Build AI Data Fabric,https://www.morningstar.com/news/pr-newswire/20260831ln36957/humain-and-minio-announce-strategic-partnership-to-build-ai-data-fabric,https://www.min.io/campaign/lp/minio-at-leap-2026,"At LEAP 2026, Saudi PIF-backed AI company HUMAIN announced a strategic partnership with MinIO, a leader in AI data infrastructure, to co-develop the HUMAIN Fabric. This unified, AI-native data platform is designed to serve as the foundation for the entire HUMAIN AI Stack, including HUMAIN Brain and HUMAIN One. The collaboration aims to provide enterprise and sovereign AI capabilities, starting with deployments in Saudi Arabia and expanding globally. MinIO will lead the architecture and development of the HUMAIN Fabric, leveraging its AIStor and high-performance object storage expertise. This partnership represents a significant move to build robust data ecosystems capable of supporting autonomous AI agents and large-scale AI workloads securely.","HUMAIN and MinIO announced a strategic partnership at LEAP 2026 to build an AI data fabric; MinIO becomes HUMAIN's data and memory foundation partner; The companies will co-develop HUMAIN Fabric, an AI-native data platform; MinIO will lead the architecture, design, and development of HUMAIN Fabric; The partnership targets enterprise and sovereign AI initiatives; Initial deployments will focus on Saudi Arabia before expanding globally; Tareq Amin is CEO of HUMAIN; Anand Babu Periasamy is Co-Founder and CEO of MinIO.",HUMAIN | MinIO,Tareq Amin | Anand Babu Periasamy,Artificial Intelligence,AI Data Infrastructure | Sovereign AI | Cloud Storage | Strategic Partnerships,"HUMAIN MinIO partnership, AI data fabric, sovereign AI infrastructure, AIStor, LEAP 2026 AI news, Tareq Amin, Anand Babu Periasamy",https://cdn.prod.website-files.com/681c8426519d8db8f867c1e8/69160aac8c4c713e2ea292f3_Garima-Kapoor.jpg,MinIO,Official executive headshot from MinIO website,true,"The original lead about MinIO's AIStor at LEAP was generic and unsupported by major news; it was replaced by the significant, verifiable news of the HUMAIN and MinIO strategic partnership announced at LEAP 2026.",95,
"36 — Cloudflare: specific Zero Trust, AI infrastructure, cloud performance or critical-asset security announcement at LEAP",36,Cloudflare Spotlights Agentic AI Infrastructure and Security at LEAP 2026,LEAP 2026,2026-08-18,Cloudflare to spotlight AI Security and Agentic Infrastructure Vision at LEAP 2026,https://cxodx.com/cloudflare-to-spotlight-ai-security-and-agentic-infrastructure-vision-at-leap-2026/,https://techxmedia.com/en/cloudflare-to-showcase-ai-security-at-leap-2026/,"At LEAP 2026, Cloudflare is showcasing its vision for securing AI workloads and managing agentic infrastructure. The company is highlighting tools like Cloudflare One for Zero Trust, Firewall for AI to prevent prompt injections, and AI Gateway for traffic control. A major focus is on securing autonomous AI agents, treating them with the same identity and permission rigor as human users. Ercan Aydin, Area Vice President for the Middle East, Turkey & Africa, emphasized that as Saudi Arabia moves AI into production, the need for secure, visible, and governed AI infrastructure becomes critical. This angle is distinct as it specifically addresses the emerging challenge of securing active AI agents rather than just passive AI models.","Cloudflare is showcasing its AI security and agentic infrastructure vision at LEAP 2026 in Riyadh (August 31 - September 3); The company emphasizes the need to treat AI agents with strict identity and permission controls, similar to human users; Key technologies highlighted include Cloudflare One (Zero Trust), Cloudflare Workers, Firewall for AI, and AI Gateway; Cloudflare introduced AI Crawl Control and Pay Per Crawl to give publishers control over AI access to content; Ercan Aydin, Area VP for Middle East, Turkey & Africa, noted that Saudi Arabia is rapidly moving AI from experimentation to production; Cloudflare's H1 2026 DDoS Threat Report showed a surge in attacks reaching terabit-per-second ranges, underscoring the need for AI-driven defense.",Cloudflare,Ercan Aydin,Cybersecurity,Cloudflare | Agentic AI | Zero Trust | LEAP 2026 | AI Security,"Cloudflare LEAP 2026, agentic AI infrastructure, AI security, Zero Trust, Cloudflare One, Ercan Aydin, AI Gateway, Saudi Arabia digital transformation",NA,NA,No suitable official press image found. Editorial review required to source a relevant image of Ercan Aydin or Cloudflare LEAP presence.,,NA,95,
