R038	LEAP 2026	Mobiz launches 3 enterprise solutions (Audit Ready, Agentic SDLC, Migration Accelerator)
R039	DeepFest 2026	Horizontal Digital + Salesforce Agentforce ‘Digital Concierge’ for hospitality
R040	DeepFest 2026	Link Development ‘Frontier Ascent’ governed agentic AI operating model
R041	LEAP 2026	Twaasol earns Cisco Powered Services Certification for Meeting Rooms (MENA first)
R042	LEAP 2026	CONNECT PS debuts Cisco Splunk Observability for contact centers
R046	LEAP 2026	Jisr launches integrated HR + Finance platform (next-gen)
R048	DeepFest 2026	MOZN expands to enterprise AI platform after HUMAIN investment
R054	DeepFest 2026	Accenture to unveil sovereign AI research for Middle East
R056	DeepFest 2026	Oracle + AMD: 50,000 MI450 GPU AI supercluster on OCI (Q3’26)
R058	DeepFest 2026	AMD + Cisco + HUMAIN AI infra goes live in Saudi; path to 1 GW by 2030
R060	LEAP 2026	Snowflake to announce Saudi MCIT initiative; Agentic Enterprise showcase
R062	LEAP 2026	SparkLabs Saudi Cohort 1 Demo Day (8 startups) at LEAP
R063	LEAP 2026	Ignite (Pakistan) sponsors 10 startups at LEAP; sectors + booth
R066	LEAP 2026	New Taipei City Gov leads 20 Taiwanese firms (Hall 3, C190)
R067	LEAP 2026	Taiwan Excellence brings 22 AI hardware brands (‘Taiwan AI Island’)
R068	LEAP 2026	Tech Arena live robotics: Unitree, AGIBOT A2 Ultra; BCI by COGNIXION
R069	LEAP 2026	LivNSense GreenOps Top 100 Rocket Fuel finalist (industrial decarbonization AI)
R072	LEAP 2026	NTT DATA ‘Cities that Think’—sovereign/agentic AI, twins, robotics
R090	DeepFest 2026	Saudi SAMAI 2: 11-ministry AI procurement framework (Year of AI)
R091	DeepFest 2026	Microsoft + HUMAIN long-term collab to bring ALLaM to Foundry and M365 Copilot
R094	LEAP 2026	LEAP Nights x F1 Saudi Motorsport partnership (2027 GP early access)
B003	DeepFest 2026	Unifonic agentic AI CX platform + Agentic Marketing (Segmentify integration)
B004	LEAP 2026	MXVi showcases Vi5 mission-critical vehicle device; wins major Saudi contract
B005	LEAP 2026	Octave (Hexagon spin-out) showcases connected intelligence for asset lifecycle
B006	LEAP 2026	Saudi MOJ ‘Rights Protection System’ (AI-enabled user-centric justice)
B007	LEAP 2026	RIOTEC barcode scan engines/modules outreach to ME integrators
B008	LEAP 2026	Tencent Cloud + TruKKer partnership: KSA migration + CodeBuddy adoption
B009	LEAP 2026	Oman delegation (24 tech companies) under ‘Numou’ growth program
B010	LEAP 2026	Saudi Red Crescent deploys specialized emergency teams for LEAP 2026
B013	LEAP 2026	Riyadh Metro dedicated shuttle routes for LEAP (Blue Line SAB ↔ RECC)
B014	LEAP 2026	Saudi Ministry of Tourism unified digital services platform + ‘Tourism X’ AI
B015	LEAP 2026	Tahakom Technology ‘Smart Pass’ biometric travel + ‘Siraj’ analytics
B016	LEAP 2026	Tech Arena: PSYONIC AI prosthetic and Cognixion Axon-R BCI demos
B018	LEAP 2026	Kanz + HRSD Guinness AI lesson record; 3,428 functioning projects output
B020	LEAP 2026	Mobily + Nokia MoU on AI-powered network efficiency and sustainability
B022	LEAP 2026	DGA Digital Experience Maturity Index 2026: 87.06% (Advanced)
B024	LEAP 2026	Masdar (Saudi) showcases data/AI platforms: Mofeed, Aamaly, Labeeb, HIP
B028	LEAP 2026	Saudi Council of Engineers launches Mu'tamad platform
B029	LEAP 2026	Social Development Bank launches AI ‘Smart Collection’ + ‘Noura’ chatbot
B031	LEAP 2026	Microsoft Saudi Arabia East cloud region to launch Nov 2026
B032	LEAP 2026	Saudi MOI pavilion launch: ‘Technological Solutions for a Secure Nation’
B033	LEAP 2026	Saudi Passports (Jawazat) enables resident photo update via Absher
B034	LEAP 2026	Saudi Civil Defense shows Smart Helmet + Early Warning + Salama portal
B035	LEAP 2026	Saudi Border Guard unveils ‘Zawal’ maritime security portal
B036	LEAP 2026	MOI Medical Services unveils AI-enabled ‘Smart Healthcare Unit’
B039	LEAP 2026	iQIBLA debuts new ecosystem: Zikr Ring R1/Aura, Hajj Band, QIMI Phone
B040	LEAP 2026	Syria debuts at LEAP with national pavilion; ‘Silk Link’ telecom project
S003	DeepFest 2026	Together AI + HUMAIN to build 250MW AI data center and cloud services
S004	DeepFest 2026	HUMAIN + Applied Intuition to deploy national autonomous trucking network
S006	LEAP 2026	HP launches Garage 2.0 AI startup incubator; Dhahran CoE progress
S012	DeepFest 2026	BIOSTAR EdgeComp MS-NAT4000 (Jetson Thor) industrial edge AI systems
S014	DeepFest 2026	Cloudera Anywhere Cloud (zero-trust, sovereign data, multi-cloud AI)
S018	Both	AI Geo Navigators: MIRSAD Saudi hazard/climate screening (LEAP x DeepFest)
S019	LEAP 2026	Astrik to showcase Classpedia, Synclo, Chattrik (enterprise AI ecosystem)
S022	LEAP 2026	HP Riyadh facility enters ongoing commercial production
S024	LEAP 2026	NC AI brings ‘Full-Stack Physical AI’ (twins, world models, robot FMs)
S029	LEAP 2026	WeRide shows Robotaxi GXR, Robobus, Robosweeper S1 + keynote
S030	LEAP 2026	Usetech operational tech portfolio (Launch, Octopus, Smart City/Manufacturing)
B043	LEAP 2026	HUMAIN unveils Horizon Ultra AI PC (Snapdragon X2 Elite); Windows now, HUMAIN OS 2027
B048	LEAP 2026	WE Solutions + Movandi MoU to accelerate advanced wireless in KSA
R026	LEAP 2026	Pakistan tech firms seek deeper Saudi foothold (pavilion, KAACIB Riyadh office)
R064	LEAP 2026	Blossom Accelerator named official LEAP soft-landing partner
R077	LEAP 2026	Builders Tribe + P@SHA lead founder delegations (Africa/GCC + Pakistan)
R087	LEAP 2026	QuikBot + EFGH embed real-time insurance for autonomous systems
S020	DeepFest 2026	Velaura AI raises $110M Series A ($1B+ val) for energy‑efficient AI compute
R093	LEAP 2026	LEAP 2026 mobility ops: Gulf Car (transport) + Makani (internal shuttles)
S011	LEAP 2026	LIVE4WELL demos AI preventive health (30s retinal, 90s stress indices)
S017	LEAP 2026	GameX Creative debuts with Roblox ‘LEAP Into New Worlds’ + ESL FACEIT racing
R086	LEAP 2026	Ghanem raises $7.1M to scale fractional real estate platform (REGA sandbox)
B049	LEAP 2026	Profit.co showcases AI-powered continuous performance management
B041	LEAP 2026	DGA’s Saudi Digital Exhibition: 20+ gov product launches; 30+ MoUs
R099	LEAP 2026	Saudia Group–Saudi EXIM–Crédit Agricole CIB MoU for Airbus fleet financing
R078	Both	LEAP/DeepFest 2026 rescheduled to Aug 31–Sep 3 (regional conflict impact)
