sequence,candidate_id,headline,event_bucket,announcement_key,primary_source,supporting_sources,confidence
18,R023,Mannai IT Saudi Showcases AI for Smart Cities at LEAP 2026,LEAP 2026,Mannai IT Saudi showcases AI for smart cities and connected stadiums,https://www.tahawultech.com/news/mannai-information-technology-to-highlight-future-of-sports-smart-cities-enterprises-through-ai-and-digital-innovation-at-leap/,https://www.intelligentcio.com/me/2026/08/31/mannai-it-to-showcase-ai-powered-innovation-at-leap-2026/,95
19,R024,AWS Launches Free AI Academy and Hackathon at LEAP 2026,Both,AWS AI Academy (Learn/Build/Certify + Agentic AI Hackathon),https://onegiantleap.com/aws-ai-academy,https://www.instagram.com/reel/Db2-krWE39q/,95
20,R027,Specialized by stc Unveils National Capability Layers at LEAP 2026,LEAP 2026,specialized by stc unveils Business Critical Network + Hadath platform,https://www.zawya.com/en/press-release/companies-news/specialized-by-stc-unveils-national-capability-layers-at-leap-2026-472860,https://gecnewswire.com/stc-group-returns-as-strategic-partner-for-leap-2026/ | https://techafricanews.com/2026/08/31/specialized-by-stc-advances-zero-failure-networks-for-critical-operations-in-saudi-arabia/ | https://fintechgate.net/250477,95
21,R028,Ericsson Showcases 5G Advanced and AI Networks at LEAP 2026,LEAP 2026,"Ericsson to showcase 5G Advanced, AI networks, mission-critical connectivity",https://www.ericsson.com/en/press-releases/5/2026/ericsson-at-leap-2026,https://saudishopper.com.sa/en/ericsson-at-leap-2026-saudi-arabia/ | https://en.sharikatmubasher.com/media-hub/news/21570261/ericsson-to-showcase-advanced-solutions-at-leap-2026,95
22,R029,Huawei Unveils AI-Powered Enterprise Solutions Under 'Advancing Industrial All Intelligence' Theme at LEAP 2026,LEAP 2026,Huawei Enterprise theme ‘Advancing Industrial All Intelligence’ with sector solutions,https://e.huawei.com/sa/events/branding/leap/2026,,90
23,R030,Cisco unveils Saudi cloud data centers and local manufacturing plans,LEAP 2026,Cisco KSA presence: cloud data centers live + local manufacturing plan,https://news-blogs.cisco.com/emea/2025/02/09/cisco-saudi-arabia-cloud-data-centers-ai-talent-manufacturing/,https://www.cisco.com/c/m/en_ae/training-events/2026/cisco-leap/index.html,95
24,R031,IBM and Ejada Systems Use AI Agent Bob to Accelerate Enterprise Modernization in Saudi Arabia,DeepFest 2026,IBM + Ejada use ‘IBM Bob’ to accelerate enterprise modernization in KSA,https://mea.newsroom.ibm.com/Ejada-IBM-Bob,https://www.zawya.com/en/press-release/companies-news/ibm-and-ejada-systems-leverage-ibm-bob-to-help-accelerate-enterprise-modernization-in-saudi-arabia-399482,95
25,R033,SBM Unveils Maxera 3D Digital Twin Powered by IBM Maximo at LEAP 2026,LEAP 2026,SBM launches Maxera 3D digital twin on IBM Maximo/watsonx,https://t.co/W2NiqyUjDU,https://www.ibm.com/events/leap,95
26,R036,Cloudflare Spotlights Agentic AI Infrastructure and Security at LEAP 2026,DeepFest 2026,"Cloudflare AI security for agentic infrastructure (Zero Trust, Firewall for AI)",https://cxodx.com/cloudflare-to-spotlight-ai-security-and-agentic-infrastructure-vision-at-leap-2026/,https://techxmedia.com/en/cloudflare-to-showcase-ai-security-at-leap-2026/,95
27,R038,Mobiz launches three enterprise AI and cloud solutions at LEAP 2026,LEAP 2026,"Mobiz launches 3 enterprise solutions (Audit Ready, Agentic SDLC, Migration Accelerator)",https://www.mobizinc.com/events/mobiz-at-leap,,90
28,R039,Horizontal Digital Debuts Agentic AI Concierge with Salesforce at LEAP 2026,DeepFest 2026,Horizontal Digital + Salesforce Agentforce ‘Digital Concierge’ for hospitality,https://www.horizontaldigital.com/news/leap-2026-with-salesforce,https://blog.horizontaldigital.com/re-architecting-saudi-real-estate-experience-era,95
29,R040,Link Development Launches Frontier Ascent Agentic AI Operating Model at LEAP 2026,DeepFest 2026,Link Development ‘Frontier Ascent’ governed agentic AI operating model,https://linkdevelopment.com/newsroom/events/architecting-the-intelligent-enterprise-link-developments-frontier-ascent-at-leap-2026/,https://linkdevelopment.com/leap-2026/,95
30,R041,Twaasol Showcases MENA-First Cisco Meeting Rooms Certification at LEAP 2026,LEAP 2026,Twaasol earns Cisco Powered Services Certification for Meeting Rooms (MENA first),https://www.linkedin.com/posts/twaasol_leap2026-cisco-twaasol-activity-7490450818014384129-THwR,https://www.cisco.com/c/m/en_ae/training-events/2026/cisco-leap/index.html | https://twaasol.com/twaasol-leads-the-future-of-work-in-mena-with-landmark-cisco-certifications/ | https://www.linkedin.com/posts/twaasol_twaasol-cisco-managedservices-activity-7485787690143997952-sAUK,95
31,R042,CONNECT PS and Cisco Debut Splunk Observability for Contact Centers at LEAP 2026,LEAP 2026,CONNECT PS debuts Cisco Splunk Observability for contact centers,https://followict.news/en/connect-ps-strengthens-its-presence-at-leap-2026-showcasing-a-unique-cisco-splunk-observability-experience-for-modern-contact-centers/,https://egyeconomy.com/en/16/08/2026/76959/,95
32,R046,Jisr Unveils Next-Gen Integrated HR and Finance Platform at LEAP 2026,LEAP 2026,Jisr launches integrated HR + Finance platform (next-gen),https://www.zawya.com/en/press-release/events-conferences/leap-2026-sees-launch-of-new-technologies-for-hr-and-financial-operations-472694,,95
33,R048,MOZN Expands Enterprise AI Focus at LEAP 2026 Following HUMAIN Investment,DeepFest 2026,MOZN expands to enterprise AI platform after HUMAIN investment,https://www.mozn.ai/blog/leap-2026-riyadh,,95
34,R054,Accenture to Unveil Sovereign AI Strategy Research at LEAP 2026,DeepFest 2026,Accenture to unveil sovereign AI research for Middle East,https://fastcompanyme.com/news/accenture-highlights-whats-next-for-sovereign-ai-in-the-middle-east-at-leap-2026/,,95
35,R056,"Oracle and AMD Partner on 50,000 MI450 GPU Supercluster at DeepFest 2026",DeepFest 2026,"Oracle + AMD: 50,000 MI450 GPU AI supercluster on OCI (Q3’26)",https://www.oracle.com/news/announcement/ai-world-oracle-and-amd-expand-partnership-to-help-customers-achieve-next-generation-ai-scale-2025-10-14/,https://www.facebook.com/Deepfestevent/posts/todays-most-demanding-ai-workloads-require-the-right-solutions-amd-joins-deepfes/1055946600648145/,95
36,R058,"AMD, Cisco, and HUMAIN Launch Live AI Infrastructure in Saudi Arabia",DeepFest 2026,AMD + Cisco + HUMAIN AI infra goes live in Saudi; path to 1 GW by 2030,https://ir.amd.com/news-events/press-releases/detail/1298/amd-cisco-and-humain-expand-saudi-arabias-ai-infrastructure-as-amd-instinct-systems-go-live,https://www.humain.com/news/amd-and-humain-launch,100
37,R060,Snowflake plans strategic MCIT initiative at LEAP 2026 for Saudi AI expansion,LEAP 2026,Snowflake to announce Saudi MCIT initiative; Agentic Enterprise showcase,https://ciome.economictimes.indiatimes.com/news/cloud-computing/snowflake-deepens-saudi-push-with-planned-mcit-tie-up-at-leap-2026/133452499,https://www.bizpreneurme.com/snowflake-to-showcase-the-future-of-agentic-enterprise-at-leap-2026/,95
38,R062,SparkLabs Saudi to debut 8 portfolio startups at LEAP 2026,LEAP 2026,SparkLabs Saudi Cohort 1 Demo Day (8 startups) at LEAP,https://www.linkedin.com/posts/menastartupdigest_sparklabs-ksu-demo-day-to-showcase-eight-activity-7499103621423341568-kQCQ,https://riyadhtechweek.com/events/sparklabs-ksu-cohort-1-demo-day | https://onegiantleap.com/session/sparklabs-ksu-cohort-1-demo-day,95
39,R063,Ignite Brings 10 Promising Pakistani Startups to LEAP 2026,LEAP 2026,Ignite (Pakistan) sponsors 10 startups at LEAP; sectors + booth,https://www.linkedin.com/posts/ignitentf_ignite-leap2026-leapriyadh-activity-7499738617377001473-tVuA,https://ignite.org.pk/leap2026/,95
40,R066,New Taipei City Government Brings 20 Taiwanese Tech Companies to LEAP 2026,LEAP 2026,"New Taipei City Gov leads 20 Taiwanese firms (Hall 3, C190)",https://www.prnewswire.com/ae/news-releases/new-taipeis-tech-ecosystem-leaps-into-the-middle-east-20-companies-to-showcase-at-leap-2026-302852444.html,,95
41,R067,Taiwan Excellence Brings 22 AI Hardware Brands to LEAP 2026 Debut,LEAP 2026,Taiwan Excellence brings 22 AI hardware brands (‘Taiwan AI Island’),https://www.linkedin.com/posts/taiwan-excellence_taiwanexcellence-saudivision2030-leap2026-activity-7499359888838627328-HgoN,https://www.taiwanexcellence.org/en/press/events/1104,95
42,R068,LEAP 2026 Tech Arena Showcases Unitree and AGIBOT Humanoid Robots,LEAP 2026,"Tech Arena live robotics: Unitree, AGIBOT A2 Ultra; BCI by COGNIXION",https://www.kitsapsun.com/press-release/story/791482/leap-2026-opens-tomorrow-what-to-watch-as-the-global-technology-community-gathers-in-riyadh/,https://en.arageek.com/leap-2026-riyadhs-tech-mega-event-eyes-ai-and-14-5-trillion-in-investments,95
43,R069,LivNSense GreenOps Selected as Top 100 Rocket Fuel Finalist at LEAP 2026,LEAP 2026,LivNSense GreenOps Top 100 Rocket Fuel finalist (industrial decarbonization AI),https://in.linkedin.com/company/livnsense-technologies-pvt-ltd,https://thefintechtimes.com/leap-2026-opens-with-a-fintech-track-and-no-fintech-news/ | https://replyfabric.ai/blog/leap-riyadh-startup-programme-approved,95
44,R072,NTT DATA Showcases Sovereign AI and Smart Cities at LEAP 2026,LEAP 2026,"NTT DATA ‘Cities that Think’—sovereign/agentic AI, twins, robotics",https://services.global.ntt/en-us/newsroom/ntt-data-to-showcase-ai-powered-intelligent-ecosystems-at-leap-2026,https://techitupme.com/ntt-data-to-showcase-ai-ecosystems-at-leap-2026/ | https://enterpriseitworldmea.com/ntt-data-to-showcase-ai-powered-intelligent-ecosystems-at-leap-2026/,100
45,R090,Saudi Arabia Launches SAMAI 2 AI Procurement Across 11 Ministries,DeepFest 2026,Saudi SAMAI 2: 11-ministry AI procurement framework (Year of AI),https://audixintel.com/saudi-year-of-ai-2026-samai/,https://sdaia.gov.sa/en/MediaCenter/News/Pages/NewsDetails.aspx?NewsID=365 | https://vision2030.ai/analysis/year-of-ai/,95
46,R091,Microsoft Brings HUMAIN's Arabic AI Models to Global Platforms,DeepFest 2026,Microsoft + HUMAIN long-term collab to bring ALLaM to Foundry and M365 Copilot,https://news.microsoft.com/source/emea/2026/08/microsoft-and-humain-announce-long-term-strategic-collaboration-to-enable-ai-transformation-in-saudi-arabia-and-beyond-2/,https://www.middleeastainews.com/p/humain-arabic-models-coming-to-microsofts | https://www.channelinsider.com/channel-business/mergers-and-acquisitions/news-microsoft-humain-allam-arabic-ai-partnership-saudi-arabia-apac/,95
47,R094,LEAP Nights Partners With F1 Saudi Arabia For 2027 Grand Prix Early Access,LEAP 2026,LEAP Nights x F1 Saudi Motorsport partnership (2027 GP early access),https://www.kitsapsun.com/press-release/story/791482/leap-2026-opens-tomorrow-what-to-watch-as-the-global-technology-community-gathers-in-riyadh/,https://fintechgate.net/250376 | https://en.arageek.com/leap-2026-riyadhs-tech-mega-event-eyes-ai-and-14-5-trillion-in-investments,95
48,B003,Unifonic Unveils Agentic AI Customer Experience Strategy at LEAP 2026,DeepFest 2026,Unifonic agentic AI CX platform + Agentic Marketing (Segmentify integration),https://www.zawya.com/en/press-release/companies-news/unifonic-demonstrates-how-agentic-ai-is-redefining-customer-experiences-at-leap-2026-472859,https://arabianreseller.com/2026/08/31/unifonic-showcases-how-agentic-ai-is-redefining-customer-experience-at-leap-2026/,95
49,B004,MXVi Secures Major Saudi Contract and Showcases Vi5 In-Vehicle Platform at LEAP 2026,LEAP 2026,MXVi showcases Vi5 mission-critical vehicle device; wins major Saudi contract,https://www.criticalcommunicationsreview.com/ccr/news/119565/mxvi-takes-a-huge-leap-forward-in-saudi-arabia,,95
50,B005,Octave Demonstrates Connected Intelligence Platform for Asset Lifecycle Management at LEAP 2026,LEAP 2026,Octave (Hexagon spin-out) showcases connected intelligence for asset lifecycle,https://www.tahawultech.com/enterprise/octave-at-leap-2026-unleashing-intelligence-at-scale/,,90
51,B006,Saudi Justice Ministry unveils AI-driven user experience enhancements,LEAP 2026,Saudi MOJ ‘Rights Protection System’ (AI-enabled user-centric justice),https://www.spa.gov.sa/en/N2664693,https://english.ajel.sa/saudi-arabia/lk7of5das,90
52,B007,RIOTEC Connects Middle East Integrators With Taiwan Barcode Expertise,LEAP 2026,RIOTEC barcode scan engines/modules outreach to ME integrators,https://gecnewswire.com/riotec-to-showcase-barcode-scanning-expertise-at-leap-2026/,https://www.riotec.com.tw/list/cate-405170.htm,95
53,B008,Tencent Cloud Inks TruKKer Partnership Ahead of LEAP 2026,LEAP 2026,Tencent Cloud + TruKKer partnership: KSA migration + CodeBuddy adoption,https://www.tencentcloud.com/dynamic/news-details/101485,https://finance.yahoo.com/technology/ai/articles/tencent-cloud-partners-logistics-platform-060400456.html | https://enterpriseitworldmea.com/tencent-cloud-expands-middle-east-footprint-with-trukker-partnership-and-ai-push-in-saudi-arabia/ | https://hostingjournalist.com/news/tencent-cloud-wins-trukker-logistics-platform-migration-in-saudi-arabia,100
54,B009,24 Omani Tech Companies Showcase Services at LEAP 2026,LEAP 2026,Oman delegation (24 tech companies) under ‘Numou’ growth program,https://www.muscatdaily.com/2026/08/31/omani-tech-firms-showcase-services-at-leap-2026-in-saudi/,https://www.fananews.com/language/en/24-omani-companies-showcase-services-at-leap-2026-in-saudi-arabia/ | https://x.com/ONA_eng/status/2094387779472121945,95
55,B010,Saudi Red Crescent Deploys Specialized Emergency Teams for LEAP 2026,LEAP 2026,Saudi Red Crescent deploys specialized emergency teams for LEAP 2026,https://www.spa.gov.sa/en/N2665152,https://english.ajel.sa/saudi-arabia/izj5bv1gf,95
56,B013,Riyadh Metro Launches Dedicated LEAP 2026 Shuttle Route,LEAP 2026,Riyadh Metro dedicated shuttle routes for LEAP (Blue Line SAB ↔ RECC),https://destinationksa.com/en/riyadh-metro-to-leap-routes/,https://whatsonsaudiarabia.com/2026/08/leap-2026-via-the-riyadh-metro/ | https://x.com/RiyadhTransport/status/2094037481653997853,95
57,B014,Saudi Tourism Ministry Launches Unified Digital Platform at LEAP 2026,LEAP 2026,Saudi Ministry of Tourism unified digital services platform + ‘Tourism X’ AI,https://sabq.org/article/yv1gcvx,https://www.mubasher.info/news/4666171/%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9-%D8%AA%D8%B7%D9%84%D9%82-%D9%85%D9%86%D8%B5%D8%A9-%D9%85%D9%88%D8%AD%D8%AF%D8%A9-%D9%84%D8%AE%D8%AF%D9%85%D8%A7%D8%AA-%D8%A7%D9%84%D9%82%D8%B7%D8%A7%D8%B9-%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%AD%D9%8A-%D8%AE%D9%84%D8%A7%D9%84-%D9%85%D8%A4%D8%AA%D9%85%D8%B1-%D9%84%D9%8A%D8%A8-2026/,95
58,B015,Tahakom Technology Unveils Smart Pass and Siraj AI Solutions at LEAP 2026,LEAP 2026,Tahakom Technology ‘Smart Pass’ biometric travel + ‘Siraj’ analytics,https://sabq.org/article/w79hfjs,https://www.spa.gov.sa/en/N2665174,95
59,B016,LEAP 2026 Tech Arena Showcases AI-Powered Prosthetics and Brain-Computer Interfaces,LEAP 2026,Tech Arena: PSYONIC AI prosthetic and Cognixion Axon-R BCI demos,https://biotech.disruptsmedia.com/digital-health/leap-2026-opens-health-tech-fringe-ai-show,https://www.beaconjournal.com/press-release/story/217769/global-ai-leaders-to-headline-leap-2026-as-riyadh-marks-the-year-of-ai/ | https://www.detroitnews.com/press-release/story/165297/leap-2026-opens-tomorrow-what-to-watch-as-the-global-technology-community-gathers-in-riyadh/,95
60,B018,Kanz and Saudi HRSD Bring AI Guinness World Record to LEAP 2026,LEAP 2026,"Kanz + HRSD Guinness AI lesson record; 3,428 functioning projects output",https://thesauditimes.net/en/a-guinness-world-record-for-ai-a-vision-2030-call-to-build/,https://enmaeya.com/en/news/6a7efbce0a3379c28b470a28 | https://www.spa.gov.sa/en/N2664822,95
61,B020,Mobily and Nokia Sign MoU to Advance AI-Powered Network Efficiency at LEAP 2026,LEAP 2026,Mobily + Nokia MoU on AI-powered network efficiency and sustainability,https://www.mubasher.info/news/4666056/%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84%D9%8A-%D8%AA%D9%88%D9%82%D8%B9-%D9%85%D8%B0%D9%83%D8%B1%D8%A9-%D8%AA%D9%81%D8%A7%D9%87%D9%85-%D9%85%D8%B9-%D9%86%D9%88%D9%83%D9%8A%D8%A7-%D8%B6%D9%85%D9%86-%D9%81%D8%B9%D8%A7%D9%84%D9%8A%D8%A7%D8%AA-%D9%85%D8%A4%D8%AA%D9%85%D8%B1-LEAP/,https://x.com/Mobily/status/2094375391108465071,95
62,B022,Saudi Arabia's Digital Experience Maturity Rises to 87%,LEAP 2026,DGA Digital Experience Maturity Index 2026: 87.06% (Advanced),https://dga.gov.sa/en/news/results-digital-experience-maturity-index-2026,https://saudigazette.com.sa/article/663669 | https://www.alarabiya.net/aswaq/economy/2026/08/12/%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9-%D8%AA%D8%B1%D9%81%D8%B9-%D9%85%D8%A4%D8%B4%D8%B1-%D9%86%D8%B6%D8%AC-%D8%A7%D9%84%D8%AA%D8%AC%D8%B1%D8%A8%D8%A9-%D8%A7%D9%84%D8%B1%D9%82%D9%85%D9%8A%D8%A9-%D8%A7%D9%84%D9%89-8706-%D9%81%D9%8A-2026,95
63,B024,Masdar Showcases Data and AI Solutions at LEAP 2026,LEAP 2026,"Masdar (Saudi) showcases data/AI platforms: Mofeed, Aamaly, Labeeb, HIP",https://sabq.org/article/h8mfqnj,,95
64,B028,Saudi Council of Engineers Launches Mu'tamad Platform at LEAP 2026,LEAP 2026,Saudi Council of Engineers launches Mu'tamad platform,https://www.spa.gov.sa/N2665279,,100
65,B029,Saudi Social Development Bank Launches AI Smart Collection Service at LEAP 2026,LEAP 2026,Social Development Bank launches AI ‘Smart Collection’ + ‘Noura’ chatbot,https://www.mubasher.info/news/4666131/%D8%A8%D9%86%D9%83-%D8%A7%D9%84%D8%AA%D9%86%D9%85%D9%8A%D8%A9-%D8%A7%D9%84%D8%A7%D8%AC%D8%AA%D9%85%D8%A7%D8%B9%D9%8A%D8%A9-%D9%8A-%D8%B7%D9%84%D9%82-%D8%AE%D8%AF%D9%85%D8%A9-%D8%A7%D9%84%D8%AA%D8%AD%D8%B5%D9%8A%D9%84-%D8%A7%D9%84%D8%B0%D9%83%D9%8A-%D8%A7%D9%84%D9%85%D8%AF%D8%B9%D9%88%D9%85%D8%A9-%D8%A8%D8%A7%D9%84%D8%B0%D9%83%D8%A7%D8%A1-%D8%A7%D9%84%D8%A7%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A/,,95
66,B031,Microsoft Confirms Saudi Arabia East Cloud Region Launch for November 2026,LEAP 2026,Microsoft Saudi Arabia East cloud region to launch Nov 2026,https://www.middleeastainews.com/p/microsoft-to-launch-saudi-cloud-region,https://www.linkedin.com/posts/ayalghamdi_microsoftannounces-saudi-arabia-east-datacenter-activity-7500188541159714816-Piwt,95
67,B032,Saudi Ministry of Interior Launches Tech Pavilion at LEAP 2026,LEAP 2026,Saudi MOI pavilion launch: ‘Technological Solutions for a Secure Nation’,https://www.spa.gov.sa/N2665280,https://sabq.org/article/1df2qmf | https://www.spa.gov.sa/en/N2661497,95
68,B033,Saudi Passports Directorate Launches Resident Photo Update on Absher,LEAP 2026,Saudi Passports (Jawazat) enables resident photo update via Absher,https://english.ajel.sa/saudi-arabia/as3q525w0,https://english.ajel.sa/saudi-arabia/8a3ei6nfs,95
69,B034,Saudi Civil Defense Showcases Smart Helmet at LEAP 2026,LEAP 2026,Saudi Civil Defense shows Smart Helmet + Early Warning + Salama portal,https://www.spa.gov.sa/N2665364,,95
70,B035,Saudi Border Guard Unveils Zawal Maritime Security Tech at LEAP,LEAP 2026,Saudi Border Guard unveils ‘Zawal’ maritime security portal,https://www.spa.gov.sa/N2665331,,95
71,B036,Saudi Ministry of Interior Unveils AI-Powered Smart Healthcare Unit at LEAP 2026,LEAP 2026,MOI Medical Services unveils AI-enabled ‘Smart Healthcare Unit’,https://www.spa.gov.sa/N2665336,https://swiftnewz.com/archives/747818,95
72,B039,iQIBLA Unveils Smart Rings and Kids AI Phones at LEAP,LEAP 2026,"iQIBLA debuts new ecosystem: Zikr Ring R1/Aura, Hajj Band, QIMI Phone",https://natlawreview.com/press-releases/iqibla-make-debut-leap-2026-unveiling-new-product-strategy-and-innovations,,95
73,B040,Syria Debuts at LEAP 2026 Highlighting Telecom Investments and Silk Link Project,LEAP 2026,Syria debuts at LEAP with national pavilion; ‘Silk Link’ telecom project,https://www.spa.gov.sa/en/N2664489,https://sabq.org/en/article/the-syrian-communications-and-information-technology-sector-participates-in-leap-2026 | https://saudishopper.com.sa/en/syrian-tech-sector-leap-2026/,95
74,S003,Together AI and HUMAIN to Build 250MW Data Center in Saudi Arabia,DeepFest 2026,Together AI + HUMAIN to build 250MW AI data center and cloud services,https://www.businesswire.com/news/home/20260831746233/en/Together-AI-and-HUMAIN-Form-Strategic-Partnership-to-Accelerate-AI-Infrastructure-and-Cloud-Services-in-Saudi-Arabia,,95
