sequence,slug,title,event_bucket,display_datetime_local,display_datetime_utc,workflow_status
67,saudi-ministry-of-interior-launches-tech-pavilion-at-leap-2026,Saudi Ministry of Interior Launches Tech Pavilion at LEAP 2026,LEAP 2026,2026-08-31T19:59:20+03:00,2026-08-31T16:59:20Z,draft
68,saudi-passports-directorate-launches-resident-photo-update-on-absher,Saudi Passports Directorate Launches Resident Photo Update on Absher,LEAP 2026,2026-08-31T20:06:36+03:00,2026-08-31T17:06:36Z,draft
69,saudi-civil-defense-showcases-smart-helmet-at-leap-2026,Saudi Civil Defense Showcases Smart Helmet at LEAP 2026,LEAP 2026,2026-08-31T20:13:52+03:00,2026-08-31T17:13:52Z,draft
70,saudi-border-guard-unveils-zawal-maritime-security-tech-at-leap,Saudi Border Guard Unveils Zawal Maritime Security Tech at LEAP,LEAP 2026,2026-08-31T20:21:07+03:00,2026-08-31T17:21:07Z,draft
71,saudi-ministry-of-interior-unveils-ai-powered-smart-healthcare-unit-at-leap-2026,Saudi Ministry of Interior Unveils AI-Powered Smart Healthcare Unit at LEAP 2026,LEAP 2026,2026-08-31T20:28:23+03:00,2026-08-31T17:28:23Z,draft
72,iqibla-unveils-smart-rings-and-kids-ai-phones-at-leap,iQIBLA Unveils Smart Rings and Kids AI Phones at LEAP,LEAP 2026,2026-08-31T20:35:39+03:00,2026-08-31T17:35:39Z,draft
73,syria-debuts-at-leap-2026-highlighting-telecom-investments-and-silk-link-project,Syria Debuts at LEAP 2026 Highlighting Telecom Investments and Silk Link Project,LEAP 2026,2026-08-31T20:42:55+03:00,2026-08-31T17:42:55Z,draft
74,together-ai-and-humain-to-build-250mw-data-center-in-saudi-arabia,Together AI and HUMAIN to Build 250MW Data Center in Saudi Arabia,DeepFest 2026,2026-08-31T20:50:10+03:00,2026-08-31T17:50:10Z,draft
75,humain-and-applied-intuition-to-deploy-national-autonomous-trucking-network,HUMAIN and Applied Intuition to Deploy National Autonomous Trucking Network,DeepFest 2026,2026-08-31T20:57:26+03:00,2026-08-31T17:57:26Z,draft
76,hp-launches-garage-2-0-ai-startup-incubator-at-leap-2026,HP Launches Garage 2.0 AI Startup Incubator at LEAP 2026,LEAP 2026,2026-08-31T21:04:42+03:00,2026-08-31T18:04:42Z,draft
77,biostar-launches-edgecomp-jetson-thor-systems-at-deepfest-2026,BIOSTAR Launches EdgeComp Jetson Thor Systems at DeepFest 2026,DeepFest 2026,2026-08-31T21:11:58+03:00,2026-08-31T18:11:58Z,draft
78,cloudera-unveils-anywhere-cloud-with-zero-trust-governance-at-leap-2026,Cloudera Unveils Anywhere Cloud with Zero-Trust Governance at LEAP 2026,DeepFest 2026,2026-08-31T21:19:13+03:00,2026-08-31T18:19:13Z,draft
79,ai-geo-navigators-unveils-mirsad-hazard-platform-at-leap-2026,AI Geo Navigators Unveils MIRSAD Hazard Platform at LEAP 2026,Both,2026-08-31T21:26:29+03:00,2026-08-31T18:26:29Z,draft
80,astrik-to-showcase-classpedia-and-ai-enterprise-ecosystem-at-leap-2026,Astrik to Showcase Classpedia and AI Enterprise Ecosystem at LEAP 2026,LEAP 2026,2026-08-31T21:33:45+03:00,2026-08-31T18:33:45Z,draft
81,hp-s-riyadh-facility-begins-commercial-production-of-tech-products,HP's Riyadh Facility Begins Commercial Production of Tech Products,LEAP 2026,2026-08-31T21:41:01+03:00,2026-08-31T18:41:01Z,draft
82,nc-ai-unveils-full-stack-physical-ai-at-leap-2026-for-middle-east-expansion,NC AI Unveils Full-Stack Physical AI at LEAP 2026 for Middle East Expansion,LEAP 2026,2026-08-31T21:48:16+03:00,2026-08-31T18:48:16Z,draft
83,weride-showcases-robotaxi-gxr-and-robobus-at-leap-2026,WeRide Showcases Robotaxi GXR and Robobus at LEAP 2026,LEAP 2026,2026-08-31T21:55:32+03:00,2026-08-31T18:55:32Z,draft
84,usetech-to-present-operational-technology-portfolio-at-leap-2026,Usetech to Present Operational Technology Portfolio at LEAP 2026,LEAP 2026,2026-08-31T22:02:48+03:00,2026-08-31T19:02:48Z,draft
85,humain-unveils-agentic-ai-pc-built-with-qualcomm-at-leap,HUMAIN Unveils Agentic AI PC Built With Qualcomm at LEAP,LEAP 2026,2026-08-31T22:10:04+03:00,2026-08-31T19:10:04Z,draft
86,we-solutions-and-movandi-partner-on-saudi-advanced-wireless-deployment,WE Solutions and Movandi Partner on Saudi Advanced Wireless Deployment,LEAP 2026,2026-08-31T22:17:19+03:00,2026-08-31T19:17:19Z,draft
87,pakistan-tech-firms-target-saudi-expansion-at-leap-2026,Pakistan Tech Firms Target Saudi Expansion at LEAP 2026,LEAP 2026,2026-08-31T22:24:35+03:00,2026-08-31T19:24:35Z,draft
88,blossom-accelerator-named-official-leap-2026-soft-landing-partner-for-startups,Blossom Accelerator Named Official LEAP 2026 Soft-Landing Partner for Startups,LEAP 2026,2026-08-31T22:31:51+03:00,2026-08-31T19:31:51Z,draft
89,builders-tribe-and-p-sha-lead-founder-delegations-to-leap-2026,Builders Tribe and P@SHA Lead Founder Delegations to LEAP 2026,LEAP 2026,2026-08-31T22:39:07+03:00,2026-08-31T19:39:07Z,draft
90,quikbot-and-efgh-partner-to-embed-real-time-insurance-into-physical-ai,QuikBot and EFGH Partner to Embed Real-Time Insurance into Physical AI,LEAP 2026,2026-08-31T22:46:22+03:00,2026-08-31T19:46:22Z,draft
91,velaura-ai-secures-110m-series-a-at-1b-valuation-for-energy-efficient-ai-computing,Velaura AI Secures $110M Series A at $1B+ Valuation for Energy-Efficient AI Computing,DeepFest 2026,2026-08-31T22:53:38+03:00,2026-08-31T19:53:38Z,draft
92,leap-2026-names-gulf-car-and-makani-as-official-transportation-and-internal-shuttle-providers,LEAP 2026 Names Gulf Car and Makani as Official Transportation and Internal Shuttle Providers,LEAP 2026,2026-08-31T23:00:54+03:00,2026-08-31T20:00:54Z,draft
93,live4well-showcases-ai-driven-preventive-health-platform-at-leap-2026,LIVE4WELL Showcases AI-Driven Preventive Health Platform at LEAP 2026,LEAP 2026,2026-08-31T23:08:10+03:00,2026-08-31T20:08:10Z,draft
94,leap-2026-debuts-gamex-creative-with-roblox-and-esl-faceit-experiences,LEAP 2026 Debuts GameX Creative with Roblox and ESL FACEIT Experiences,LEAP 2026,2026-08-31T23:15:25+03:00,2026-08-31T20:15:25Z,draft
95,saudi-proptech-ghanem-secures-7-1m-to-expand-fractional-real-estate-platform,Saudi Proptech Ghanem Secures $7.1M to Expand Fractional Real Estate Platform,LEAP 2026,2026-08-31T23:22:41+03:00,2026-08-31T20:22:41Z,draft
96,profit-co-spotlights-ai-powered-performance-management-platform-at-leap-2026,Profit.co Spotlights AI-Powered Performance Management Platform at LEAP 2026,LEAP 2026,2026-08-31T23:29:57+03:00,2026-08-31T20:29:57Z,draft
97,saudi-digital-exhibition-to-launch-20-digital-products-at-leap-2026,Saudi Digital Exhibition to Launch 20 Digital Products at LEAP 2026,LEAP 2026,2026-08-31T23:37:13+03:00,2026-08-31T20:37:13Z,draft
98,saudia-secures-airbus-fleet-financing-mou-at-leap-2026,Saudia Secures Airbus Fleet Financing MoU at LEAP 2026,LEAP 2026,2026-08-31T23:44:28+03:00,2026-08-31T20:44:28Z,draft
99,leap-2026-rescheduled-to-august-amid-regional-conflict,LEAP 2026 Rescheduled to August Amid Regional Conflict,Both,2026-08-31T23:51:44+03:00,2026-08-31T20:51:44Z,draft
100,saudi-human-resources-ministry-brings-new-digital-services-to-leap-2026,Saudi Human Resources Ministry Brings New Digital Services to LEAP 2026,LEAP 2026,2026-08-31T23:59:00+03:00,2026-08-31T20:59:00Z,draft
